Date,Market Cap (USD),Number of Coins
7/1/2017,1544252034,93353179.87
7/2/2017,1628663383,93384275.97
7/3/2017,1611145672,93415669.25
7/4/2017,1629516423,93447775.66
7/5/2017,1625689036,93479188.78
7/6/2017,1634550847,93510496.28
7/7/2017,1508122723,93542113.16
7/8/2017,1517901985,93573572.69
7/9/2017,1468613967,93605056.75
7/10/2017,1307701757,93637518.31
7/11/2017,1322671071,93669286.91
7/12/2017,1758533764,93702347.06
7/13/2017,1662569502,93733680.97
7/14/2017,1590872684,93765454.87
7/15/2017,1387045939,93796657.06
7/16/2017,1309720134,93828482.84
7/17/2017,1416372607,93860032.37
7/18/2017,1478285971,93891617.37
7/19/2017,1334433560,93921810.81
7/20/2017,1509063691,93953110.19
7/21/2017,1502002962,93984675.03
7/22/2017,1567018595,94016111.91
7/23/2017,1516188595,94047431.75
7/24/2017,1499260234,94078561.44
7/25/2017,1372317327,94110519.72
7/26/2017,1378569089,94142178.62
7/27/2017,1364475838,94173542.84
7/28/2017,1311198631,94205377.37
7/29/2017,1345891388,94236774.25
7/30/2017,1298191881,94268378.94
7/31/2017,1300263443,94300294.09
8/1/2017,1373948589,94331519.09
8/2/2017,1365123440,94363506.28
8/3/2017,1439469199,94395209.87
8/4/2017,1401342238,94426619.56
8/5/2017,1465423765,94457830.81
8/6/2017,1460741889,94489067.37
8/7/2017,1438884827,94520439.56
8/8/2017,1513906538,94551584.72
8/9/2017,1452019579,94583305.34
8/10/2017,1452217938,94614552.69
8/11/2017,1438683751,94646030.34
8/12/2017,1391581672,94677200.97
8/13/2017,1340632532,94708349.09
8/14/2017,1329957567,94739713.31
8/15/2017,1275539527,94771345.97
8/16/2017,1326784311,94802493.94
8/17/2017,1310819249,94834101.44
8/18/2017,1274196764,94865737.22
8/19/2017,1283163466,94897212.84
8/20/2017,1314291022,94929090.34
8/21/2017,1403748201,94959799.72
8/22/2017,1365397625,94991794.09
8/23/2017,1460522815,95023775.66
8/24/2017,1438697017,95055288.31
8/25/2017,1443149626,95087323.78
8/26/2017,1453826757,95118465.5
8/27/2017,1528936213,95150434.09
8/28/2017,1503990586,95181856.91
8/29/2017,1509163540,95213205.34
8/30/2017,1520247589,95244694.56
8/31/2017,1605493597,95276190.03
9/1/2017,2135005454,95310017.69
9/2/2017,1895831837,95341831.12
9/3/2017,1856588948,95373107.06
9/4/2017,1641057955,95404664.56
9/5/2017,1663553431,95435971.12
9/6/2017,1844452285,95468053
9/7/2017,1773255122,95499340.34
9/8/2017,1619666541,95530850.19
9/9/2017,1562923631,95561903.47
9/10/2017,1467984288,95593301.44
9/11/2017,1461184457,95624771.12
9/12/2017,1437200724,95656279.72
9/13/2017,1365797567,95687815.81
9/14/2017,992417737.1,95719510.66
9/15/2017,1099794103,95750295.19
9/16/2017,1079258773,95781983
9/17/2017,1070373930,95813226.75
9/18/2017,1159314387,95844185.97
9/19/2017,1110533026,95875596.28
9/20/2017,1080094163,95906755.66
9/21/2017,967905005.4,95937983.31
9/22/2017,981915442.7,95970669.09
9/23/2017,1013414592,96001856.91
9/24/2017,1012458748,96033717.53
9/25/2017,1056261732,96064831.75
9/26/2017,1110372245,96096771.44
9/27/2017,1248283080,96128410.66
9/28/2017,1270245701,96160302.69
9/29/2017,1220710052,96191745.81
9/30/2017,1264831224,96223249.72
10/1/2017,1233160882,96254753.31
10/2/2017,1198149067,96286022.53
10/3/2017,1173232040,96317729.41
10/4/2017,1137007356,96349094.72
10/5/2017,1148366140,96380335.5
10/6/2017,1182422890,96412018.47
10/7/2017,1194506580,96443657.53
10/8/2017,1169123736,96474806.28
10/9/2017,1102719165,96506405.19
10/10/2017,1095025762,96538040.34
10/11/2017,1102459829,96569532.84
10/12/2017,1122480287,96601078.47
10/13/2017,1159897385,96632281.12
10/14/2017,1178383791,96663693.62
10/15/2017,1154452353,96695092.84
10/16/2017,1149876579,96726418.78
10/17/2017,1144917333,96757158.47
10/18/2017,1110644641,96788231.12
10/19/2017,1093701146,96819925.97
10/20/2017,1078514727,96851294.56
10/21/2017,1051131016,96882791.75
10/22/2017,1037260945,96914205.34
10/23/2017,973407289.3,96945799.56
10/24/2017,1008909989,96977176.12
10/25/2017,1013468123,97008435.66
10/26/2017,1006637567,97039953.47
10/27/2017,996083392.1,97071300.81
10/28/2017,1010672519,97102441.91
10/29/2017,1055815837,97133861.75
10/30/2017,1051412397,97165462.37
10/31/2017,1019463501,97196565.66
11/1/2017,992682266.4,97228308
11/2/2017,963934508.5,97259332.84
11/3/2017,1200287119,97291543
11/4/2017,1153146360,97322537.06
11/5/2017,1282783175,97355396.91
11/6/2017,1370922201,97387161.91
11/7/2017,1313622278,97418174.56
11/8/2017,1356810598,97449468.47
11/9/2017,1381395033,97480759.09
11/10/2017,1412500116,97513133.78
11/11/2017,1878749367,97546247.22
11/12/2017,1441664156,97576563.31
11/13/2017,1555436066,97607427.53
11/14/2017,1703733127,97639199.56
11/15/2017,1677002925,97670426.28
11/16/2017,1640921603,97701889.87
11/17/2017,1674960639,97733716.12
11/18/2017,1736591125,97765175.81
11/19/2017,1752096232,97796857.84
11/20/2017,1821609673,97828641.44
11/21/2017,1730674240,97860352.22
11/22/2017,1761311427,97892186.12
11/23/2017,1778274211,97923233.47
11/24/2017,2055720312,97954856.91
11/25/2017,2118312220,97986890.19
11/26/2017,2119029638,98018756.28
11/27/2017,2445746034,98050907.22
11/28/2017,3099185473,98084433.16
11/29/2017,2425135152,98115273.78
11/30/2017,2574403239,98146819.56
12/1/2017,2908785468,98179462.37
12/2/2017,2843898655,98211139.56
12/3/2017,2850154993,98242641.28
12/4/2017,2872256020,98274092.22
12/5/2017,2791231441,98305455.81
12/6/2017,2546028639,98336662.84
12/7/2017,2385063070,98368197.22
12/8/2017,2744423181,98399645.03
12/9/2017,2775890803,98431297.37
12/10/2017,2533693939,98462435.19
12/11/2017,2641458503,98491765.91
12/12/2017,3036931889,98515648.41
12/13/2017,2938312839,98539245.91
12/14/2017,3142940176,98563426.16
12/15/2017,3138302578,98587587.91
12/16/2017,3369188669,98612104.16
12/17/2017,3416081004,98636461.41
12/18/2017,3790430628,98660789.41
12/19/2017,3764810388,98684934.41
12/20/2017,3836170075,98709233.16
12/21/2017,3724304635,98733297.41
12/22/2017,2941182354,98757691.16
12/23/2017,3025512276,98781642.41
12/24/2017,2826212048,98805992.66
12/25/2017,2898830940,98830157.41
12/26/2017,2959288077,98854349.16
12/27/2017,2856001567,98878830.41
12/28/2017,2674228903,98902911.41
12/29/2017,2749397248,98927413.91
12/30/2017,2447778380,98951143.41
12/31/2017,2608498253,98974912.91
1/1/2018,2937756167,98999354.66
1/2/2018,3155257734,99023801.91
1/3/2018,3275666069,99048086.16
1/4/2018,3387936189,99072150.41
1/5/2018,3076964384,99096246.91
1/6/2018,3371499298,99120125.16
1/7/2018,3492888182,99144425.16
1/8/2018,3361595385,99168638.66
1/9/2018,3831377406,99192597.91
1/10/2018,3594216521,99216372.66
1/11/2018,3185783478,99240435.66
1/12/2018,3609635284,99264431.91
1/13/2018,4165955918,99288614.41
1/14/2018,4263155949,99312852.66
1/15/2018,3996649017,99336928.66
1/16/2018,2846003512,99360916.66
1/17/2018,2897462509,99384990.66
1/18/2018,2956989771,99409031.41
1/19/2018,3126771017,99433192.16
1/20/2018,3472933670,99456731.66
1/21/2018,2991521526,99480849.66
1/22/2018,2877555247,99504946.16
1/23/2018,2821887081,99528827.41
1/24/2018,2922505396,99553051.16
1/25/2018,2880806116,99577040.16
1/26/2018,2836227159,99600880.41
1/27/2018,2924888523,99625350.41
1/28/2018,3184642632,99649202.91
1/29/2018,3082515429,99673349.16
1/30/2018,2658435801,99697373.91
1/31/2018,2797904138,99720992.16
2/1/2018,2443295009,99744675.41
2/2/2018,2306171540,99768397.91
2/3/2018,2411334858,99791738.41
2/4/2018,2095887656,99815008.16
2/5/2018,1625215978,99838984.91
2/6/2018,1915502260,99862682.66
2/7/2018,1819084306,99886510.41
2/8/2018,2158182046,99909917.41
2/9/2018,2569961518,99934311.66
2/10/2018,2406385681,99958034.91
2/11/2018,2405877313,99981958.66
2/12/2018,2956745774,100006477.4
2/13/2018,3290006782,100031105.9
2/14/2018,3492423410,100054837.7
2/15/2018,3404058654,100078337.9
2/16/2018,3467277027,100102287.9
2/17/2018,3487955137,100125271.9
2/18/2018,3395416612,100148915.4
2/19/2018,3856349499,100172798.7
2/20/2018,3657157948,100196392.2
2/21/2018,3486416088,100219812.7
2/22/2018,3162640761,100243458.4
2/23/2018,3611991422,100267019.4
2/24/2018,3683410143,100290591.9
2/25/2018,3543422023,100313870.7
2/26/2018,3536176185,100337425.7
2/27/2018,3579726276,100360808.7
2/28/2018,3319070969,100384211.7
3/1/2018,3364136473,100407785.7
3/2/2018,3063732164,100431124.4
3/3/2018,2888939633,100454284.2
3/4/2018,2963736037,100477618.7
3/5/2018,2676747054,100500879.9
3/6/2018,2480871436,100522917.9
3/7/2018,2199433582,100545576.7
3/8/2018,2246302991,100568270.9
3/9/2018,2221289231,100590139.9
3/10/2018,2079105913,100612524.9
3/11/2018,2146422321,100634798.9
3/12/2018,2043943606,100657177.2
3/13/2018,1995370689,100679568.7
3/14/2018,1719683317,100701885.9
3/15/2018,1824536856,100724045.7
3/16/2018,1799284853,100746694.4
3/17/2018,1636667206,100768991.9
3/18/2018,1682510258,100791593.4
3/19/2018,1941367086,100814315.7
3/20/2018,2006319769,100837251.4
3/21/2018,1956844508,100859635.2
3/22/2018,1976538482,100882430.2
3/23/2018,1900142040,100904451.9
3/24/2018,1858501629,100925469.7
3/25/2018,1819934682,100946433.4
3/26/2018,1664756337,100967826.2
3/27/2018,1609855886,100988887.7
3/28/2018,1620842111,101009923.9
3/29/2018,1486052086,101031312.7
3/30/2018,1441764610,101052421.2
3/31/2018,1443829887,101073575.2
4/1/2018,1368856029,101094654.7
4/2/2018,1417921416,101115602.4
4/3/2018,1521979077,101136820.9
4/4/2018,1368866302,101158057.2
4/5/2018,1387323124,101179041.4
4/6/2018,1328849601,101200587.4
4/7/2018,1358527643,101221872.9
4/8/2018,1429182863,101242960.7
4/9/2018,1368206071,101263843.9
4/10/2018,1381993435,101284770.4
4/11/2018,1464898432,101305006.4
4/12/2018,1639456865,101323882.2
4/13/2018,1597591870,101342625.2
4/14/2018,1630438487,101361231.7
4/15/2018,1701278893,101379877.7
4/16/2018,1630771060,101398638.4
4/17/2018,1629147631,101417320.2
4/18/2018,1790893566,101435907.7
4/19/2018,1860696748,101454893.4
4/20/2018,1986378882,101473382.7
4/21/2018,1883352113,101492123.7
4/22/2018,1901147000,101510438.9
4/23/2018,2079499529,101528766.4
4/24/2018,2264031034,101547182.2
4/25/2018,1883982929,101565563.9
4/26/2018,2150285752,101583825.7
4/27/2018,2107657721,101602345.7
4/28/2018,2204562441,101620695.4
4/29/2018,2212045914,101639048.4
4/30/2018,2179737141,101657465.2
5/1/2018,2181890218,101675949.2
5/2/2018,2196262302,101694265.2
5/3/2018,2313954624,101710595.4
5/4/2018,2273234086,101726105.9
5/5/2018,2303242706,101741792.7
5/6/2018,2575350013,101757233.9
5/7/2018,2383999475,101772705.9
5/8/2018,2281199189,101788144.4
5/9/2018,2173109239,101803233.4
5/10/2018,2017778948,101818556.7
5/11/2018,1808671827,101833766.2
5/12/2018,1847677688,101849061.2
5/13/2018,1914361876,101864324.4
5/14/2018,1898474611,101879582.2
5/15/2018,1855642272,101894334.4
5/16/2018,1788985182,101909507.2
5/17/2018,1720437629,101924379.7
5/18/2018,1831208706,101939231.7
5/19/2018,1796746334,101954097.2
5/20/2018,1850873267,101968974.9
5/21/2018,1795503469,101983669.7
5/22/2018,1669750851,101998277.9
5/23/2018,1511628888,102013078.7
5/24/2018,1599144642,102027556.7
5/25/2018,1528959564,102041657.4
5/26/2018,1559081352,102056385.9
5/27/2018,1543199194,102070761.4
5/28/2018,1460119361,102085074.2
5/29/2018,1546998135,102100541.4
5/30/2018,1547728948,102125418.4
5/31/2018,1557731043,102149822.9
6/1/2018,1580320712,102173766.9
6/2/2018,1616075866,102198236.9
6/3/2018,1655163180,102222490.9
6/4/2018,1548613956,102247221.9
6/5/2018,1583986912,102271261.7
6/6/2018,1554131495,102295794.9
6/7/2018,1547681966,102320106.4
6/8/2018,1574421340,102344776.7
6/9/2018,1541935345,102369248.9
6/10/2018,1284915064,102393561.7
6/11/2018,1317161573,102417974.4
6/12/2018,1489425325,102443569.4
6/13/2018,1419355733,102467718.4
6/14/2018,1436036508,102491389.2
6/15/2018,1411985728,102516100.7
6/16/2018,1484371446,102541068.4
6/17/2018,1458795589,102565346.9
6/18/2018,1542078989,102590073.4
6/19/2018,1597763017,102614390.9
6/20/2018,1738930794,102639277.2
6/21/2018,1812271659,102664299.2
6/22/2018,1493442810,102688398.2
6/23/2018,1524353309,102712697.2
6/24/2018,1520932215,102737200.2
6/25/2018,1629696742,102762152.4
6/26/2018,1544144772,102786374.9
6/27/2018,1591480149,102810805.9
6/28/2018,1491657676,102835228.9
6/29/2018,1579457597,102859854.2
6/30/2018,1657454527,102884268.7
7/1/2018,1653347776,102908638.9
7/2/2018,1716990230,102932964.4
7/3/2018,1659325912,102957573.7
7/4/2018,1730944021,102981791.9
7/5/2018,1776899206,103006596.7
7/6/2018,1878429187,103031147.9
7/7/2018,1910349119,103055545.2
7/8/2018,1884218107,103080576.4
7/9/2018,1883520259,103104936.4
7/10/2018,1666996767,103128879.2
7/11/2018,1690549667,103153444.7
7/12/2018,1652325198,103178017.7
7/13/2018,1675183718,103202514.7
7/14/2018,1694378852,103226669.9
7/15/2018,1717068189,103251215.9
7/16/2018,1790812744,103275399.4
7/17/2018,1851192816,103300005.2
7/18/2018,1790669523,103324577.2
7/19/2018,1795189305,103349068.2
7/20/2018,1662361576,103373757.7
7/21/2018,1693806576,103397976.2
7/22/2018,1672481714,103422262.7
7/23/2018,1657687108,103447011.7
7/24/2018,1720456518,103471368.2
7/25/2018,1715072239,103495921.7
7/26/2018,1725965232,103520152.7
7/27/2018,1759027648,103544605.7
7/28/2018,1756466317,103569037.2
7/29/2018,1752205732,103593454.4
7/30/2018,1777755443,103618112.9
7/31/2018,1673736584,103642783.9
8/1/2018,1601124501,103666970.9
8/2/2018,1551461157,103691144.7
8/3/2018,1715615751,103715864.2
8/4/2018,1704069711,103740664.2
8/5/2018,1828199973,103765436.2
8/6/2018,1937974422,103790199.4
8/7/2018,1785409583,103814703.9
8/8/2018,1557583743,103838628.4
8/9/2018,1566685252,103862914.7
8/10/2018,1476708136,103887447.7
8/11/2018,1393773540,103911655.7
8/12/2018,1369521981,103935982.4
8/13/2018,1248364824,103960775.2
8/14/2018,1191061464,103985116.4
8/15/2018,1313238449,104009629.4
8/16/2018,1433537314,104034686.9
8/17/2018,1530358544,104059081.9
8/18/2018,1385638249,104083345.7
8/19/2018,1389055646,104107770.7
8/20/2018,1291897102,104132316.4
8/21/2018,1329916650,104156738.4
8/22/2018,1274112690,104181148.4
8/23/2018,1301143932,104205551.9
8/24/2018,1308848029,104230183.2
8/25/2018,1306314730,104254576.7
8/26/2018,1294636644,104279285.7
8/27/2018,1310954372,104303550.7
8/28/2018,1385698475,104327849.7
8/29/2018,1358470818,104352261.2
8/30/2018,1335913199,104376746.4
8/31/2018,1331882325,104401343.7
9/1/2018,1375314325,104425493.9
9/2/2018,1392100957,104449981.9
9/3/2018,1465688081,104474784.7
9/4/2018,1458059674,104499160.4
9/5/2018,1251104370,104523803.2
